#Frame                                               Vec_00002
       1  47.4034 -54.8425  -5.4604  63.1186 107.3425  72.1362
       2  48.9326 -56.3135  -7.0484  62.1132 108.0523  72.3504
       3  49.2146 -55.3631  -5.4038  61.8471 108.4001  71.0852
       4  50.4712 -55.8917  -5.7411  61.2913 109.2939  71.3473
       5  51.9825 -54.7607  -5.5132  60.6522 108.4453  71.0889
       6  50.8606 -55.1171  -5.3110  61.2399 108.1103  71.1128
       7  51.9722 -55.0129  -5.7499  61.0401 107.4958  71.4652
       8  51.6104 -55.1118  -6.8759  61.1096 107.6799  71.7753
       9  51.5169 -54.5012  -7.3172  61.5284 106.4175  72.5046
      10  51.3335 -54.5976  -6.2415  60.8337 107.1378  71.8655
      11  50.8285 -54.5098  -6.9891  62.1477 107.4184  72.4587
      12  50.4337 -54.9671  -7.4443  61.5969 107.0172  72.4858
      13  51.9160 -54.5196  -6.8080  60.9739 106.2322  73.1216
      14  51.1887 -54.0698  -6.9224  61.2650 107.4391  73.2864
      15  50.0517 -54.7940  -6.2677  62.6430 108.1257  72.4361
      16  52.3661 -54.9022  -6.6751  61.2257 108.5264  72.6735
      17  52.5996 -54.8160  -7.7703  61.0103 109.2230  73.7467
      18  52.2289 -54.8674  -7.1463  61.9101 108.8374  72.7046
      19  52.7814 -54.9381  -6.1779  61.0058 109.1715  72.2139
      20  52.9493 -53.7161  -7.7825  61.6361 108.6744  72.7259
      21  52.1102 -55.6956  -6.3870  61.7602 109.9926  72.2441
      22  50.9638 -55.0447  -6.7367  62.5451 108.9579  72.5481
      23  51.7722 -54.3834  -7.4422  62.1691 108.5140  72.5243
      24  50.4958 -53.7627  -6.9013  64.1173 108.3977  72.2595
      25  50.7454 -54.5895  -7.4915  64.3444 108.5291  72.7571
      26  52.0888 -55.2483  -7.7362  64.1482 108.1868  72.4216
      27  51.7523 -54.0315  -7.7155  64.1489 107.7032  73.0991
      28  52.4900 -53.8453  -6.1925  62.5343 107.0475  71.8599
      29  52.1465 -53.1312  -5.8691  63.2460 106.7957  71.5729
      30  53.7141 -54.6381  -6.1025  62.4045 108.4786  70.3186
      31  52.6201 -55.0777  -8.0220  63.3230 108.6344  71.5008
      32  52.7197 -54.9181  -8.0499  63.4283 107.9375  71.8508
      33  53.7079 -55.5364  -8.3465  63.1687 107.9715  71.8582
      34  52.7504 -55.6399  -7.2247  63.2881 108.1445  71.0418
      35  52.8764 -55.9523  -6.6133  63.2561 108.2833  71.1082
      36  52.0507 -55.8910  -7.0053  63.9810 108.9690  71.1796
      37  53.4632 -57.9583  -7.5688  62.1914 110.5683  71.7282
      38  54.6186 -57.7293  -7.9661  61.9553 110.3497  72.1487
      39  54.0171 -58.5631  -8.3435  62.4074 110.3289  72.0854
      40  52.3765 -57.9372  -8.7758  63.4110 110.1405  72.4373
      41  51.7594 -58.9902  -7.5462  64.3152 110.5210  71.4099
      42  52.9425 -57.4645  -7.9655  63.5546 109.8993  71.6730
      43  52.5332 -58.8102  -7.3939  63.0521 110.5349  72.0285
      44  52.1336 -57.0877  -7.3723  63.6874 108.9183  71.6780
      45  51.9664 -57.0473  -7.0823  64.5097 109.0108  71.9154
      46  52.4006 -58.0050  -7.9943  64.4150 108.6539  71.9491
      47  53.7635 -59.1918  -8.0755  63.7224 109.3602  72.1590
      48  54.1292 -58.1232  -8.7550  62.9710 109.4545  72.1421
      49  54.4400 -60.1161  -8.3324  63.1703 110.2603  71.7009
      50  54.3348 -59.5722  -8.7077  62.9875 110.4367  71.6072
      51  53.6081 -59.0248  -7.8655  63.5500 110.1761  71.8909
      52  53.9905 -60.0618  -8.4818  64.2497 110.6530  72.3138
      53  53.3191 -61.4277  -7.2308  63.9242 111.8135  71.3792
      54  51.1351 -62.6107  -7.9488  64.2235 111.7395  71.5948
      55  51.4048 -62.6754  -7.6703  63.5626 112.3701  71.3403
      56  51.6488 -62.5168  -7.6311  63.6542 112.5554  70.9876
      57  52.0282 -63.8379  -8.3889  63.6828 113.0693  71.6566
      58  51.1825 -63.0249  -7.7225  64.2618 112.6733  71.2234
      59  50.9950 -61.2977  -7.1828  64.3148 111.6211  70.4361
      60  51.6898 -61.2377  -6.9053  63.6389 110.9785  70.6540
      61  51.6197 -61.2733  -5.6808  64.3199 111.4904  70.0226
      62  52.0380 -60.9519  -6.0535  64.6057 110.8632  71.1316
      63  52.2190 -60.7934  -7.0378  64.5597 111.2613  71.5108
      64  52.5230 -60.6077  -7.2336  64.5141 110.2658  71.4462
      65  52.3076 -59.6542  -6.9303  64.3832 110.3019  71.0968
      66  53.5745 -59.9020  -7.3270  63.3934 110.3661  71.0210
      67  52.2253 -60.0462  -8.1297  63.6051 110.7946  70.7269
      68  51.9895 -61.4789  -7.6906  63.3554 111.4726  70.9670
      69  51.8884 -61.1991  -8.6127  63.4597 111.3601  71.1974
      70  53.9384 -61.1661  -8.5576  62.6147 111.7282  71.8384
      71  54.5106 -61.0024  -8.0714  62.1096 110.6677  70.8680
      72  54.1417 -61.2631  -8.4598  62.2676 111.7726  70.5327
      73  55.3331 -59.1028  -8.2460  60.5690 109.6376  70.3637
      74  55.3246 -59.6584  -8.2465  60.7904 109.4752  70.3864
      75  55.4902 -58.2204  -8.0935  61.2141 109.3091  70.8569
      76  55.0582 -59.7890  -8.1798  61.5685 110.6172  70.5017
      77  55.4262 -60.5471  -6.7581  61.4624 111.1040  70.0381
      78  54.4184 -59.7913  -8.6283  62.2409 110.8222  70.5436
      79  54.6229 -59.4134  -8.1750  61.9648 110.7474  70.4034
      80  53.8794 -59.5356  -7.0302  62.2102 111.0621  69.7682
      81  53.8803 -59.9081  -6.9100  62.8792 111.8160  69.6680
      82  54.6388 -60.0596  -8.4388  61.5667 111.5105  70.8670
      83  53.2532 -58.9507  -7.3295  62.2370 110.3142  70.5498
      84  53.9320 -59.2511  -7.3661  62.1581 110.5247  70.7376
      85  54.3448 -58.6917  -6.9299  61.3637 110.3917  70.2774
      86  53.6268 -60.6310  -6.9092  62.3421 111.6682  70.0699
      87  52.5866 -60.7800  -5.5823  62.5760 111.9777  70.0330
      88  53.8118 -61.2841  -6.2554  62.3723 111.7782  69.8921
      89  52.8792 -60.5306  -5.8424  62.9660 111.4152  69.1771
      90  52.2356 -60.4202  -6.8732  63.1931 111.3025  70.2236
      91  53.3524 -60.7437  -7.0172  63.0210 111.7358  70.7733
      92  52.9470 -60.7398  -8.3334  63.3993 111.3538  71.3067
      93  52.2637 -60.4108  -7.0059  63.5678 110.9699  70.8768
      94  53.2198 -60.0943  -6.8719  63.6789 110.9442  70.1354
      95  52.1878 -60.5424  -6.7555  63.8640 111.7223  70.2845
      96  53.5690 -61.5349  -6.3812  63.0397 112.4486  70.0966
      97  53.6129 -61.1717  -7.0683  63.2928 112.7603  70.4518
      98  52.5172 -60.0184  -6.4443  63.4234 112.1933  69.4624
      99  52.7728 -61.9247  -7.2071  63.7866 112.7666  69.9623
     100  54.2276 -59.8178  -7.6027  63.0394 111.6140  70.2798
     101  52.3582 -59.1966  -7.9176  63.8434 111.2036  70.7551
     102  53.6820 -58.5428  -7.1219  64.0063 110.6088  70.4627
     103  54.4215 -59.8263  -7.4130  63.2883 110.9474  70.4583
     104  54.1751 -59.2511  -6.5939  63.1833 111.3949  69.8892
     105  55.5418 -58.7254  -6.9871  63.1516 110.1135  70.3186
     106  55.5781 -59.4488  -6.9394  63.2119 110.9477  70.7454
     107  54.0484 -59.0312  -6.9662  63.7866 110.8335  71.2074
     108  54.5378 -60.0073  -6.7950  63.4854 111.6584  70.5841
     109  53.3351 -59.9317  -6.7583  64.8159 111.2078  70.3439
     110  54.7580 -61.0269  -5.0846  63.5591 112.4711  69.9600
     111  54.3400 -61.2630  -4.2397  63.7664 112.5519  70.2777
     112  54.8282 -61.0962  -4.5547  63.5651 112.1325  69.6661
     113  54.7155 -60.9581  -5.7286  63.5101 111.8208  69.9622
     114  54.3245 -60.1435  -5.9248  63.5476 111.3400  70.0719
     115  54.3106 -59.5798  -5.8430  63.8879 110.7064  70.3441
     116  54.4668 -58.7481  -7.3441  63.8850 111.2935  70.5029
     117  53.7548 -58.4485  -7.5696  63.4046 109.8407  70.5707
     118  53.4056 -57.8384  -7.1272  63.7987 109.5661  70.6864
     119  53.4729 -58.0545  -7.3252  63.2505 109.5464  70.3921
     120  54.0410 -59.4254  -7.6533  63.0899 110.7284  70.4863
     121  53.7359 -59.0543  -7.0657  63.1882 110.3537  70.1421
     122  54.5953 -59.3084  -6.4915  62.7002 111.0046  69.6609
     123  54.5677 -60.2356  -5.4230  62.8138 111.2445  68.5780
     124  54.9337 -59.8312  -5.0746  62.2444 110.9909  69.0072
     125  51.2745 -61.2452  -4.7163  64.9850 111.9961  69.3063
     126  52.2719 -61.5816  -4.3295  64.5691 112.3666  68.6797
     127  51.9127 -60.5193  -4.0690  64.2639 111.8654  68.2916
     128  51.9852 -59.7713  -5.1083  64.1412 111.9476  68.6956
     129  51.2655 -60.3577  -4.7516  65.1322 111.6136  69.0227
     130  51.1365 -60.0000  -5.4245  64.7407 111.0000  69.6455
     131  51.7195 -58.4157  -5.8501  64.1813 110.2189  69.6897
     132  51.3397 -60.0577  -6.7311  64.3530 110.8899  69.3309
     133  51.7261 -59.8517  -7.2418  64.6312 111.1497  69.2289
     134  52.2121 -59.1559  -6.9045  63.5565 110.2756  69.2097
     135  50.9352 -58.9097  -7.5513  64.1748 110.7858  69.5614
     136  52.0847 -60.2077  -7.9017  63.5888 111.5710  69.4333
     137  53.1266 -60.2675  -7.1195  62.9274 111.5732  68.6106
     138  53.1728 -60.8816  -6.5232  62.7702 111.9405  69.2168
     139  51.7255 -58.7122  -8.2481  63.5842 110.4775  69.9288
     140  52.7295 -59.4616  -6.4665  62.9716 110.9697  68.5562
     141  52.3832 -60.5128  -7.1011  63.4241 111.5126  69.4441
     142  53.0968 -59.0539  -7.0264  62.8456 110.9920  69.7276
     143  51.4197 -60.1761  -4.6618  63.2065 111.8022  68.4426
     144  51.2145 -58.7573  -6.8679  63.6788 111.1542  69.3544
     145  53.1697 -59.8838  -5.4769  62.8761 111.8498  68.6823
     146  52.0124 -59.8146  -6.7142  63.6166 111.5711  68.2230
     147  52.0594 -59.2938  -7.0238  63.3767 111.1990  69.4960
     148  52.9529 -60.2898  -6.6072  63.1052 111.6051  68.8343
     149  52.6337 -59.5103  -7.4084  63.3113 111.1476  69.3513
     150  53.4567 -59.2484  -7.9507  62.5250 110.6977  70.6197
     151  53.5570 -59.6158  -7.8384  63.1282 110.9712  70.5636
     152  53.1345 -57.1261  -6.9209  63.4375 109.1157  70.1098
     153  52.6779 -59.5008  -6.5807  63.1527 110.9830  69.6140
     154  54.1844 -58.1348  -8.4672  62.6174 110.6179  70.7627
     155  52.7467 -57.9328  -6.5451  63.4782 109.5377  70.3346
     156  54.1031 -58.4616  -6.5920  62.6055 110.0993  69.6471
     157  54.4981 -56.6835  -6.9314  62.0746 109.1164  69.4198
     158  54.5751 -56.8559  -5.6989  61.9666 108.9678  68.3509
